hash	Comment	brand	isTaken	name	number	paypal	physical	price	snipit	url
00a7b43c03f9ab3cb8f75584f3592bd92ae3b641		Amazon	2024-11-25T16:10:52.127	Tamagotchi Box	1	true	false	13.99	https://screenshot.googleplex.com/9sBcTat2kyAe8cZ	https://www.amazon.de/Meetikar-Elektronisches-Handschlaufe-Bildschirmschutz-Schl%C3%BCsselband/dp/B0CZF62LHV/ref=sr_1_1_sspa?crid=1T3XXG8342MB&dib=eyJ2IjoiMSJ9.BtdjKlXI4QDI0Jjhcvaj9QcvM9amOf3CGY1YQFo9QQR95OAvBzjRf6AjBFLqYUXPh-c7d7fWmWD8A1vxu8v4nLW2kZn2kM65VGg_LQKzEpovH-gjcnLgKrSbFJaHyt7KZ4fIvnwO8ySSfKmvLvckEwX8Yd7I3218pnMP8ME02O6JQi_iRjd18QzOjNLB8rCBEX_Ms24OS2e23Ws8xNz-pfJwP50olpTpNzAnt4E7PLL_wc9WX8jcTQGZf5lIOE28glPhGB-4LmWkt73wbelRmky8X73vIcqaYd4mEKgXsaE.hE8Dx75N4WuK8y8bTgzDsS406du-YWhYxRYixzRFjiI&dib_tag=se&keywords=tamagotchi%2Boriginal&nsdOptOutParam=true&qid=1731612926&s=toys&sprefix=tamagotsch%2Ctoys%2C123&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
011ce853d0d339d734b31a390af7cdfb43192918		Amazon	2024-11-25T09:24:05.299	Squishy Unicorn	1	true	false	18.99	https://screenshot.googleplex.com/ArFUdABVh72v9bV	https://www.amazon.de/dp/B0BVFJSFXJ/ref=sspa_dk_detail_3?pd_rd_i=B0BVFJSFXJ&pd_rd_w=yf7rS&content-id=amzn1.sym.d9f88fbb-7ec7-4155-9602-43fd71456ba4&pf_rd_p=d9f88fbb-7ec7-4155-9602-43fd71456ba4&pf_rd_r=1WWX1ZQ1V9SAGCJNPWWN&pd_rd_wg=RaJXX&pd_rd_r=54f8de5d-92aa-44ac-b52b-0e1141d36b53&s=toys&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1
014a66d980aa48548cb35e728807a2582873db20		Amazon	2024-11-25T09:55:15.472	Edurino Figurine Horse	1	false	false	24.99	https://screenshot.googleplex.com/62cuJpVEdRvrpbo	https://www.amazon.de/Edurino-Innovatives-digitales-Verst%C3%A4ndnis-Tagesabl%C3%A4ufe/dp/B0D9BHLPY6/ref=sr_1_6?crid=2S6XFKQGLQYWA&dib=eyJ2IjoiMSJ9.AidPxe9p_H069vCwWiHKi3djlERFc3lY4_38LczpXy7iy0qCZ55CZ47KSvwlkClYLtJibylVyfYuS0pjHhjTLKNQE7_AWuM3oN8w4KobNN045U_GupyTgSHATeQpr2bkGed_FO_sxk-gBPPFm4QJwx8bCKgDPQkdsG4mpu4iQIRP-ndZ-edJJmNoOW3yZ88LszJ3zGlzCvQ2MSShYilBgbmvmGCG6m1887bWd-OVqEoCqeKeeIGXVqCdyf0tm_2BboeCSTYOM2MK2zsXZ7TV-oeEsqjajU2teqWmO6orn-E.qbYhgQe2tDiTOnUkiicTmgK4HBo_QumeVipvm6zxHIw&dib_tag=se&keywords=edurino+ollie+figur&nsdOptOutParam=true&qid=1731608511&sprefix=edurino+olli%2Caps%2C112&sr=8-6
023a29b9d0fc486e0fd98e75b35f5d1238c8a189		Decathlon	2024-11-25T10:31:25.125	Boxing Gloves Red	1	true	false	19.95	https://screenshot.googleplex.com/9EwD4LrfbFaZ6Hm	https://www.decathlon.de/p/mp/lnx/boxhandschuhe-kinder-little-ninja-6oz/_/R-p-d0ecae8d-b5cb-48f7-b65f-f5b0afa5e3e5?mc=d0ecae8d-b5cb-48f7-b65f-f5b0afa5e3e5_c1c14&c=schwarz_rot
0597523dd5b6bc14c79e4883304965afac5808f2		Amazon	2024-11-25T19:57:48.981	Winged Purple Unicorn Figurine	1	true	false	16.99	https://screenshot.googleplex.com/7RVYZEt6DmZkygY	https://www.amazon.de/Schleich-70579-Sternen-Pegasus-Stute/dp/B07G9ZX5CZ/ref=sr_1_19?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=211H1M817OPK8&dib=eyJ2IjoiMSJ9.87y-Fmwq6wfcVZoqEPnJyQpmuRIyuaOFAYDYfs5iNY30vE9VKZxtscY57aw9Iralp55Sd2tRa7jVne7SJuT2sMH9UZiZ8o2nUutSfltbXBChgKVWyXGwuVOKakDe2ZWVqlCNgrWTJ2D_Rn0l7lzU2V3o3QpWMAr0fe99Xq1Idl3K2mvgFuSh_c1se8cxxKb86BY_-sthfwJjPEGZlhSUZEM-w9JKp5axZh4pDQvfle5e8wE8aQ9dTlVpz6fUdct_UpZtli0OxaShFi3CKnoPTmSC-bQa8zgYIl2FnCyRsdk.cYlbLSwDLqE107cJ5kKtlPtD4eIXzoaeylkje1BsEi0&dib_tag=se&keywords=einhorn+schleich+set&nsdOptOutParam=true&qid=1731612408&sprefix=einhorn+schleich+set%2Caps%2C144&sr=8-19
078e4a7dcbf38c7b327b8bd10c6164efa3a8cd89		Amazon	2024-11-25T10:17:24.654	Winged Unicorn Figurine	1	true	false	16.99	https://screenshot.googleplex.com/TGvr5wAHWDpYqHR	https://www.amazon.de/SCHLEICH-70576-Einhorn-Regenbogen-Mehrfarbig/dp/B09JPFXDML/ref=sr_1_6?dib=eyJ2IjoiMSJ9.q_QVbPVkU0jVl4Vu3mNWsAV3LE_r0qcreuhgbSpCkEpnl4dfgM5PsREBNt8GABSR89xWNI7m9vTZSOjoSR9c6PVZ5Cw4YlQqL_yiGTJ4ehlfEHL5qREe777S1gFppReaKYiwRDd2GWtlOIu2Upf2E706Svtfn5yF3yPpDdHe2awsJOo_3oNVEtCHXnTqVWAbWv6Oc8NkBbn5Qr3GhlClPrvNN-wCLj8i4FLhcscR08SpZeE2Yp1vHMesUOOq5v4ifVixwOAjzj--KOzV4f2ycLBdmySmsU2p1jn6Kc8UI6E.piGBz3XdmqE728qar3gK9ahEyTKLwDt7yhgCO_l65uU&dib_tag=se&keywords=einhorn%2Bschleich&nsdOptOutParam=true&qid=1731612282&sr=8-6&th=1
08d43fffc5f616c872f19dbb85b04914b08b3e53		Amazon	2024-11-25T12:32:17.908	Top Model coloring book	1	true	true	14.86	https://screenshot.googleplex.com/7eshss9fxdo8r2y	https://www.amazon.de/Depesche-12227-TOPModel-Dance-Model-Motiven/dp/B0BHZDF3D3/ref=sr_1_49_mod_primary_new?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1OQ5CP92FDCF2&dib=eyJ2IjoiMSJ9.78WT0Km0NBoSdI3GCo27oig3s01WtzBBl_oA01HWLMqE7YbL2Ta0ouJfqpye7z4lJGbzpZq6TG-JHo_FnoG6Td9w9JqGzhPFYC8CekRVKC7HQk0NLr_592bE-x2OCELqvoD37B6WN5Axb-UhUM8B4yIvMoNdceN5nY8ZNI7GEmi_fTr5Q26QHZRd7sttBA1ubUEzqfdrHW_OMxP6LE6rT7ovXOB_GGecEOHO19y45RlGqp7FqCBgIUMYh53LFYcElldvKAbPHY3_y9vQ7Ef-gOPFXH_JUR5X6X0tcJOhM6o.4FQY49ZDOfbyKTFyetLcxsi66iO4ujC5BBcoxtOCYuc&dib_tag=se&keywords=TOP+Model+set&qid=1729860370&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=top+model+set%2Caps%2C123&sr=8-49
0a80dbd681ee936552ee9195a7750d1453cdaa7f		Amazon	2024-11-29T14:08:12.103	Beyblade Set	1	true	true	17.99	https://screenshot.googleplex.com/C8L8JpQ6ob8RTsU	https://www.amazon.de/Acebwhtoy-Kampfkreisel-Weihnachten-Geburtstag-Jugendliche/dp/B0C7KJNQR3/ref=sr_1_9?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2MGT0EE0MYL61&dib=eyJ2IjoiMSJ9.Pb44-jejIL4v5JjFZJxS5ux-U8SYTEi9ni9VQ-ZuH1ZedfXJaib2Y5CUzs0QKIsN7CZXBubD1hSsm0afvZo2NoXYYSINgXKcLhEctfntipK6x4yC-hug1dh_irquv2aHlYp_UpyRXXd0CIC1HnSly2qfOEGw70T8Q-OhYEfNY6Ee9xJK0llv0tbGOKFJ9tANl1lFxf3MhXYzQZLyiK8oZMSyx053cr4r0MQPNpkqsubl0l_e7j9iJeiiiA6l9-7MQAh-Xp6sKuUI82kXu9Sj_qHrnk7U7UrdKEQBrnv31k0.gcL_LxKi29H4cSIpctL_IBlEzWAhsbjRXhMjU_ZLAJ0&dib_tag=se&keywords=beyblade&qid=1731613385&s=toys&sprefix=bexblade%2Ctoys%2C120&sr=1-9&th=1
0b8082c28860c819148cd2eb3ce88efbacfc077c		Amazon	2024-11-25T17:23:46.291	Unicorn Figurine Set	1	true	false	14.99	https://screenshot.googleplex.com/icP5ehoQJkRhbHx	https://www.amazon.de/SCHLEICH-Spielfigur-Regenbogeneinhorn-Hengst-Mehrfarbig/dp/B09DQ7237W/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.q_QVbPVkU0jVl4Vu3mNWsAV3LE_r0qcreuhgbSpCkEpnl4dfgM5PsREBNt8GABSR89xWNI7m9vTZSOjoSR9c6PVZ5Cw4YlQqL_yiGTJ4ehlfEHL5qREe777S1gFppReaKYiwRDd2GWtlOIu2Upf2E706Svtfn5yF3yPpDdHe2awsJOo_3oNVEtCHXnTqVWAbWv6Oc8NkBbn5Qr3GhlClPrvNN-wCLj8i4FLhcscR08SpZeE2Yp1vHMesUOOq5v4ifVixwOAjzj--KOzV4f2ycLBdmySmsU2p1jn6Kc8UI6E.piGBz3XdmqE728qar3gK9ahEyTKLwDt7yhgCO_l65uU&dib_tag=se&keywords=einhorn%2Bschleich&nsdOptOutParam=true&qid=1731612282&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
0d0405cc8f392e603ddce49c38830ec78d8bbd2f		Amazon	2024-11-25T09:58:02.465	Makeup Set	1	false	false	11.99	https://screenshot.googleplex.com/6wKL83UVSMDsavZ	https://www.amazon.de/dp/B08CLQCRLP/ref=sspa_dk_detail_0?psc=1&pd_rd_i=B08CLQCRLP&pd_rd_w=dBe0G&content-id=amzn1.sym.d9f88fbb-7ec7-4155-9602-43fd71456ba4&pf_rd_p=d9f88fbb-7ec7-4155-9602-43fd71456ba4&pf_rd_r=WC9P039JWH92GB6NJNF2&pd_rd_wg=GFr9B&pd_rd_r=8b29a8ff-56d4-4397-ad29-a84a57e17ea2&s=toys&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM
